,assetTypeNumber,assetNumber,reportingPeriodBeginningDate,reportingPeriodEndingDate,originatorName,originationDate,originalLoanAmount,originalLoanTerm,loanMaturityDate,originalInterestRatePercentage,interestCalculationTypeCode,originalInterestRateTypeCode,originalInterestOnlyTermNumber,originalFirstPaymentDate,underwritingIndicator,gracePeriodNumber,paymentTypeCode,subvented,vehicleManufacturerName,vehicleModelName,vehicleNewUsedCode,vehicleModelYear,vehicleTypeCode,vehicleValueAmount,vehicleValueSourceCode,obligorCreditScoreType,obligorCreditScore,obligorIncomeVerificationLevelCode,obligorEmploymentVerificationCode,coObligorIndicator,paymentToIncomePercentage,obligorGeographicLocation,assetAddedIndicator,remainingTermToMaturityNumber,reportingPeriodModificationIndicator,servicingAdvanceMethodCode,reportingPeriodBeginningLoanBalanceAmount,nextReportingPeriodPaymentAmountDue,reportingPeriodInterestRatePercentage,nextInterestRatePercentage,servicingFeePercentage,servicingFlatFeeAmount,otherServicerFeeRetainedByServicer,otherAssessedUncollectedServicerFeeAmount,scheduledInterestAmount,scheduledPrincipalAmount,otherPrincipalAdjustmentAmount,reportingPeriodActualEndBalanceAmount,reportingPeriodScheduledPaymentAmount,totalActualAmountPaid,actualInterestCollectedAmount,actualPrincipalCollectedAmount,actualOtherCollectedAmount,servicerAdvancedAmount,interestPaidThroughDate,zeroBalanceEffectiveDate,zeroBalanceCode,currentDelinquencyStatus,primaryLoanServicerName,mostRecentServicingTransferReceivedDate,assetSubjectDemandIndicator,assetSubjectDemandStatusCode,repurchaseAmount,DemandResolutionDate,repurchaserName,repurchaseReplacementReasonCode,chargedoffPrincipalAmount,recoveredAmount,modificationTypeCode,paymentExtendedNumber,repossessedIndicator,repossessedProceedsAmount,LTV,loanDiff,StateUnemployment
2796,SDART0201700003,"=""2094208""",09/01/2017,09-30-2017,SC,09/2012,49550.0,72,01/2019,0.0679,1,1,-,10/2012,False,1,2,0,MERCEDES-BENZ,GLK Class,2,2011,3,31800.0,98,Bureau,682,2,2,0,0.12919846,NY,-,17,False,1,14766.78,0.0,0.0679,0.0679,0.03,-,-,0.0,59.3945,780.3955,0.0,0.0,839.79,15718.73,109.88,14766.78,842.07,-,08-04-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,155.81761006289307,34783.22,4.7
2803,SDART0201700003,"=""2086052""",09/01/2017,09-30-2017,SC,09/2012,21259.0,72,10/2018,0.2272,1,1,-,10/2012,True,1,2,0,FORD TRUCK,Explorer-V6,2,2008,3,17750.0,98,Bureau,561,3,3,1,0.0915732,NY,-,14,False,1,7446.7,0.0,0.2272,0.2272,0.03,-,-,0.0,117.5555,425.7245,0.0,0.0,543.28,7655.29,208.59,7446.7,0.0,-,08-11-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,119.76901408450703,13812.3,4.7
2854,SDART0201700003,"=""2094799""",09/01/2017,09-30-2017,SC,09/2012,13439.05,72,10/2018,0.21,1,1,-,11/2012,False,2,2,0,Dodge,Durango,2,2003,3,10998.0,98,Bureau,491,3,3,0,0.06482322,CO,-,14,False,1,1096.49,0.0,0.21,0.21,0.03,-,-,0.0,68.8367,260.9033,0.0,0.0,329.74,1233.05,31.56,1096.49,105.0,-,09-08-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,122.19539916348425,12342.56,3.0
2924,SDART0201700003,"=""2107135""",09/01/2017,09-30-2017,SC,09/2012,24493.9,72,02/2019,0.0999,1,1,-,11/2012,True,2,2,0,NISSAN,Rogue-4 Cyl.,2,2010,3,19600.0,98,Bureau,681,2,2,1,0.06867481,NY,-,18,False,1,8848.4,0.0,0.0999,0.0999,0.03,-,-,0.0,48.0481,405.6019,0.0,0.0,453.65,9224.96,106.56,8848.4,270.0,-,08-05-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,124.96887755102041,15645.500000000002,4.7
2945,SDART0201700003,"=""2120801""",09/01/2017,09-30-2017,SC,09/2012,18675.31,72,12/2018,0.1477,1,1,-,11/2012,True,2,2,0,VOLKSWAGEN,Jetta-5 Cyl.,2,2007,1,14150.0,98,Bureau,620,2,3,0,0.157976,FL,-,16,False,1,6591.1,0.0,0.1477,0.1477,0.03,-,-,0.0,59.7842,332.7758,0.0,0.0,392.56,6685.61,56.01,6591.1,38.5,-,08-18-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,131.9809893992933,12084.210000000001,3.9
3097,SDART0201700003,"=""3883749""",09/01/2017,09-30-2017,SC,09/2012,23388.86,72,12/2019,0.1059,1,1,-,11/2012,False,2,2,0,JEEP,Liberty-V6,2,2011,3,15800.0,98,Bureau,657,2,2,0,0.13235558,NC,-,28,False,1,11099.04,0.0,0.1059,0.1059,0.03,-,-,0.0,49.2717,391.0183,0.0,0.0,440.29,11623.8,119.13,11099.04,405.63,-,08-16-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,148.03075949367087,12289.82,4.4
3106,SDART0201700003,"=""3884988""",09/01/2017,09-30-2017,SC,09/2012,15717.67,72,11/2018,0.2061,1,1,-,11/2012,True,2,2,0,FORD,Mustang,2,2008,1,15200.0,98,Bureau,542,3,3,0,0.06874467,TX,-,15,True,1,4718.69,0.0,0.2061,0.2061,0.03,-,-,0.0,78.458,303.602,0.0,0.0,382.06,4795.95,77.26,4718.69,0.0,-,08-09-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,3,0,False,-,103.40572368421053,10998.98,4.0
3226,SDART0201700003,"=""3886182""",09/01/2017,09-30-2017,SC,09/2012,28154.49,72,11/2018,0.0762,1,1,-,10/2012,True,1,2,0,Ford,Focus,1,2012,1,19613.81,98,Bureau,690,2,2,0,0.08447931,CA,-,15,False,1,7369.7,0.0,0.0762,0.0762,0.03,-,-,0.0,37.1556,451.2744,0.0,0.0,488.43,7726.09,50.77,7369.7,305.62,-,08-03-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,143.54421705930667,20784.79,4.5
3279,SDART0201700003,"=""3903445""",09/01/2017,09-30-2017,SC,09/2012,20337.53,72,10/2018,0.1569,1,1,-,11/2012,True,2,2,0,SUZUKI,GRAND VITARA,2,2011,3,14150.0,98,Bureau,625,3,2,0,0.17090128,TX,-,14,False,1,5576.02,0.0,0.1569,0.1569,0.03,-,-,0.0,70.4302,367.2598,0.0,0.0,437.69,5688.4,112.38,5576.02,0.0,-,09-09-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,143.72812720848057,14761.509999999998,4.0
3318,SDART0201700003,"=""3907848""",09/01/2017,09-30-2017,SC,09/2012,28042.88,72,11/2018,0.1504,1,1,-,11/2012,True,2,2,0,HUMMER,H3-5 Cyl.,2,2009,3,22975.0,98,Bureau,604,2,2,0,0.1470468,IN,-,15,True,1,8043.17,0.0,0.1504,0.1504,0.03,-,-,0.0,92.103,501.477,0.0,0.0,593.58,8438.78,203.11,8043.17,192.5,-,09-07-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,3,0,False,-,122.05823721436344,19999.71,3.5
